,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__l2_regularization,param_classifier__learning_rate,param_classifier__max_bins,param_classifier__max_leaf_nodes,param_classifier__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
98,6.5855607986450195,0.3689145127179885,0.1963193893432617,0.025156303843156723,0.0491033324353334,0.005130717058970963,12,114,4,"{'classifier__l2_regularization': 0.0491033324353334, 'classifier__learning_rate': 0.005130717058970963, 'classifier__max_bins': 12, 'classifier__max_leaf_nodes': 114, 'classifier__min_samples_leaf': 4}",0.7753514398798963,0.7712257712257712,0.7779142779142779,0.7706797706797707,0.7702702702702703,0.7730883059939972,0.0030207013564326687,114
99,1.6378262519836426,0.10434421277902585,0.07911467552185059,0.003121420228128417,0.15879452554838477,2.3848586334519695,89,240,1,"{'classifier__l2_regularization': 0.15879452554838477, 'classifier__learning_rate': 2.3848586334519695, 'classifier__max_bins': 89, 'classifier__max_leaf_nodes': 240, 'classifier__min_samples_leaf': 1}",0.7844957008325372,0.7865137865137866,0.7618072618072618,0.7776412776412777,0.7583947583947583,0.7737705570379243,0.011592555383262216,113
100,0.7423999786376954,0.041366542717836394,0.07802162170410157,0.004744930323744568,0.0001635475109654884,0.6816470913872755,32,46,63,"{'classifier__l2_regularization': 0.0001635475109654884, 'classifier__learning_rate': 0.6816470913872755, 'classifier__max_bins': 32, 'classifier__max_leaf_nodes': 46, 'classifier__min_samples_leaf': 63}",0.8490514535280469,0.8523068523068523,0.8532623532623532,0.8472563472563472,0.8524433524433525,0.8508640717593904,0.0023077590124092533,36
101,3.5935476779937745,0.13086844430272987,0.14419975280761718,0.008773757957256269,0.0026428254603677015,0.0010483091997991968,12,58,3,"{'classifier__l2_regularization': 0.0026428254603677015, 'classifier__learning_rate': 0.0010483091997991968, 'classifier__max_bins': 12, 'classifier__max_leaf_nodes': 58, 'classifier__min_samples_leaf': 3}",0.7589736590691961,0.758940758940759,0.758940758940759,0.758940758940759,0.758940758940759,0.7589473389664464,1.316005137486087e-05,119
102,7.890651845932007,0.33639507424165827,0.1639986515045166,0.011677880289661656,4.280518224647286,0.001470686030158988,52,174,32,"{'classifier__l2_regularization': 4.280518224647286, 'classifier__learning_rate': 0.001470686030158988, 'classifier__max_bins': 52, 'classifier__max_leaf_nodes': 174, 'classifier__min_samples_leaf': 32}",0.7589736590691961,0.758940758940759,0.758940758940759,0.758940758940759,0.758940758940759,0.7589473389664464,1.316005137486087e-05,119
103,1.002650260925293,0.08195520469645655,0.12791590690612792,0.012914364283181295,0.02952313341003387,0.007756823360964895,4,4,13,"{'classifier__l2_regularization': 0.02952313341003387, 'classifier__learning_rate': 0.007756823360964895, 'classifier__max_bins': 4, 'classifier__max_leaf_nodes': 4, 'classifier__min_samples_leaf': 13}",0.7589736590691961,0.758940758940759,0.758940758940759,0.758940758940759,0.758940758940759,0.7589473389664464,1.316005137486087e-05,119
104,0.7089996337890625,0.04192498644739022,0.07301855087280273,0.006304019997262634,5.331041387436612e-05,1.2681863340786481,9,85,1,"{'classifier__l2_regularization': 5.331041387436612e-05, 'classifier__learning_rate': 1.2681863340786481, 'classifier__max_bins': 9, 'classifier__max_leaf_nodes': 85, 'classifier__min_samples_leaf': 1}",0.8276238569673809,0.8061698061698062,0.8260988260988261,0.8176358176358176,0.8196833196833196,0.8194423253110301,0.007625323279757165,64
105,4.417422246932984,0.37048469418968377,0.17743778228759766,0.023897011259640128,2.2712119681786627,0.10176949975718833,197,106,81,"{'classifier__l2_regularization': 2.2712119681786627, 'classifier__learning_rate': 0.10176949975718833, 'classifier__max_bins': 197, 'classifier__max_leaf_nodes': 106, 'classifier__min_samples_leaf': 81}",0.8644738637914563,0.8667758667758668,0.8708708708708709,0.8632268632268633,0.8693693693693694,0.8669433668068853,0.002872270073294759,5
106,11.972730588912963,0.339423567353792,0.17551498413085936,0.01738885695614004,1.2564404397824525,0.010489840390942043,127,225,3,"{'classifier__l2_regularization': 1.2564404397824525, 'classifier__learning_rate': 0.010489840390942043, 'classifier__max_bins': 127, 'classifier__max_leaf_nodes': 225, 'classifier__min_samples_leaf': 3}",0.8550566398253037,0.8525798525798526,0.8565383565383565,0.8549003549003549,0.8577668577668578,0.8553684123221451,0.0017443425865651396,22
107,1.0078736782073974,0.058471371379756665,0.1218099594116211,0.01786788759525746,0.0003456913605908866,0.02401868898076536,2,4,25,"{'classifier__l2_regularization': 0.0003456913605908866, 'classifier__learning_rate': 0.02401868898076536, 'classifier__max_bins': 2, 'classifier__max_leaf_nodes': 4, 'classifier__min_samples_leaf': 25}",0.7950047768527364,0.7934752934752934,0.7895167895167895,0.788970788970789,0.7925197925197925,0.7918974882670802,0.0023136667661141377,97
